a,m,d
"{""born"":1956,""name"":Tom Hanks}","{""tagline"":In every life there comes a time when that thing you dream becomes that thing you do,""title"":That Thing You Do,""released"":1996}","{""born"":1956,""name"":Tom Hanks}"
"{""born"":1956,""name"":Tom Hanks}","{""tagline"":Once in a lifetime you get a chance to do something different.,""title"":A League of Their Own,""released"":1992}","{""born"":1943,""name"":Penny Marshall}"
"{""born"":1956,""name"":Tom Hanks}","{""tagline"":What if someone you never met, someone you never saw, someone you never knew was the only someone for you?,""title"":Sleepless in Seattle,""released"":1993}","{""born"":1941,""name"":Nora Ephron}"
"{""born"":1956,""name"":Tom Hanks}","{""tagline"":A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.,""title"":Charlie Wilson's War,""released"":2007}","{""born"":1931,""name"":Mike Nichols}"
"{""born"":1956,""name"":Tom Hanks}","{""tagline"":At the edge of the world, his journey begins.,""title"":Cast Away,""released"":2000}","{""born"":1951,""name"":Robert Zemeckis}"
"{""born"":1956,""name"":Tom Hanks}","{""tagline"":Walk a mile you'll never forget.,""title"":The Green Mile,""released"":1999}","{""born"":1959,""name"":Frank Darabont}"
"{""born"":1956,""name"":Tom Hanks}","{""tagline"":Break The Codes,""title"":The Da Vinci Code,""released"":2006}","{""born"":1954,""name"":Ron Howard}"
"{""born"":1956,""name"":Tom Hanks}","{""tagline"":This Holiday Season... Believe,""title"":The Polar Express,""released"":2004}","{""born"":1951,""name"":Robert Zemeckis}"
"{""born"":1956,""name"":Tom Hanks}","{""tagline"":A story of love, lava and burning desire.,""title"":Joe Versus the Volcano,""released"":1990}","{""born"":1950,""name"":John Patrick Stanley}"
"{""born"":1956,""name"":Tom Hanks}","{""tagline"":Everything is connected,""title"":Cloud Atlas,""released"":2012}","{""born"":1965,""name"":Tom Tykwer}"
